rh,temp,co2
65.076,27.43,124.699996948
65.076,27.43,124.5
65.076,27.43,124.599998474
65.076,27.43,125.199996948
65.251,27.433,126.5
65.251,27.433,126.099998474
65.076,27.43,126.199996948
65.076,27.43,125.5
65.347,27.438,125.800003052
65.347,27.438,126.5
65.378,27.442,127.099998474
65.378,27.442,126.699996948
65.433,27.446,125.5
65.433,27.446,126.300003052
65.378,27.442,126.5
65.378,27.442,126.699996948
65.433,27.451,126
65.433,27.451,126.800003052
65.433,27.446,127.599998474
65.433,27.446,127.699996948
65.433,27.446,127.5
65.433,27.446,127.099998474
65.433,27.446,127.599998474
65.433,27.446,127.199996948
65.433,27.446,127
65.433,27.446,126.199996948
65.433,27.446,126.300003052
66.133,27.439,126.099998474
66.133,27.439,126
66.207,27.44,125.800003052
66.207,27.44,127.400001526
66.258,27.439,126.900001526
66.258,27.439,126.699996948
66.309,27.438,127.300003052
66.309,27.438,126.900001526
66.382,27.437,126.199996948
66.382,27.437,126.400001526
66.309,27.438,126.400001526
66.309,27.438,127.300003052
66.439,27.438,127.099998474
66.439,27.438,127
66.635,27.436,127.599998474
66.635,27.436,127.300003052
66.743,27.435,128.5
66.743,27.435,128.800003052
66.898,27.432,129.100006104
66.898,27.432,128.300003052
67.047,27.428,127.400001526
67.047,27.428,126.5
66.898,27.432,124.900001526
66.898,27.432,124.099998474
67.164,27.426,122.099998474
67.164,27.426,122.199996948
67.301,27.424,121.900001526
67.301,27.424,123
67.301,27.424,123
67.301,27.424,122.099998474
67.746,27.411,122.199996948
67.746,27.411,123.599998474
67.301,27.424,122.900001526
67.301,27.424,122.300003052
67.746,27.411,122
67.746,27.411,120.599998474
67.978,27.406,120.599998474
67.978,27.406,119.800003052
68.221,27.406,120.699996948
68.221,27.406,120.699996948
67.978,27.406,120.099998474
67.978,27.406,120.900001526
68.291,27.408,122.099998474
68.291,27.408,121.599998474
68.415,27.41,122.5
68.415,27.41,123.199996948
68.474,27.412,123.900001526
68.474,27.412,123.900001526
68.415,27.41,124.099998474
68.415,27.41,122.900001526
68.415,27.41,122.800003052
68.415,27.41,123.599998474
68.415,27.41,123.300003052
68.415,27.41,124.599998474
68.415,27.41,125.099998474
68.415,27.41,124.5
